Date,Open,High,Low,Close,Volume,AdjustedClose
20240604,3.6,3.7,3.55,3.68,3954700,3.68
20240605,3.69,3.71,3.65,3.65,1674700,3.65
20240606,3.63,3.66,3.62,3.65,1679500,3.65
20240607,3.65,3.68,3.64,3.66,1667800,3.66
20240610,3.68,3.68,3.63,3.64,910100,3.64
20240611,3.65,3.69,3.65,3.67,1864800,3.67
20240612,3.69,3.7,3.65,3.66,1030400,3.66
20240613,3.68,3.71,3.66,3.67,1580200,3.67
20240614,3.67,3.68,3.62,3.63,2831200,3.63
20240618,3.64,3.67,3.6,3.64,1474900,3.64
20240619,3.62,3.66,3.61,3.61,945700,3.61
20240620,3.61,3.62,3.55,3.55,1519800,3.55
20240621,3.55,3.58,3.51,3.52,4576100,3.52
20240624,3.53,3.55,3.5,3.55,2400000,3.55
20240625,3.51,3.53,3.48,3.49,1794900,3.49
20240626,3.49,3.54,3.49,3.53,1024100,3.53
20240627,3.51,3.51,3.45,3.45,2140800,3.45
20240628,3.47,3.55,3.46,3.53,2174700,3.53
20240701,3.57,3.64,3.54,3.58,2815200,3.58
20240702,3.56,3.6,3.49,3.5,2328500,3.5
20240703,3.5,3.53,3.5,3.53,593000,3.53
20240704,3.53,3.54,3.44,3.45,3996100,3.45
20240705,3.46,3.47,3.43,3.44,1499600,3.44
20240709,3.45,3.47,3.43,3.43,4022200,3.43
20240710,3.44,3.51,3.43,3.46,3528200,3.46
20240711,3.47,3.54,3.47,3.53,1214700,3.53
20240712,3.49,3.55,3.49,3.52,1585100,3.52
20240715,3.53,3.55,3.48,3.53,3399200,3.53
20240716,3.53,3.53,3.46,3.47,4040100,3.47
20240717,3.48,3.53,3.47,3.53,617500,3.53
20240718,3.55,3.6,3.51,3.6,2320500,3.6
